Class ID,Class Name,Section,Number of Students,,
JIIU-01-25,Awwal Alif ,Alamiyat-1,23,,
JIIU-02-25,Awwal Ba ,Alamiyat-1,21,,
JIIU-03-25,Awwal Jeem,Alamiyat-1,21,,
JIIU-04-25,Awwal Dal,Alamiyat-1,23,,
JIIU-05-25,Awwal Ha,Alamiyat-1,32,,
JIIU-06-25,Awwal Waw,Alamiyat-1,25,,
JIIU-07-25,Awwal Za,Alamiyat-1,28,,
JIIU-08-25,Awwal Hha,Alamiyat-1,28,,
JIIU-09-25,Awwal Ta,Alamiyat-1,27,,
JIIU-10-25,Awwal Ya,Alamiyat-1,28,,
JIIU-11-25,Awwal Kaf,Alamiyat-1,20,,
JIIU-12-25,Awwal Lam,Alamiyat-1,29,,
JIIU-13-25,Awwal Mim,Alamiyat-1,28,,
JIIU-14-25,Awwal Nun,Alamiyat-1,23,,
JIIU-15-25,M Awwal Alif,Alamiyat-1,31,,
JIIU-16-20,M Awwal Ba,Alamiyat-1,24,,
JIIU-17-25,Dom Alif ,Alamiyat-1,26,,
JIIU-18-25,Dom Ba ,Alamiyat-1,26,,
JIIU-19-25,Dom Jeem,Alamiyat-1,25,,
JIIU-20-25,Dom Dal,Alamiyat-1,22,,
JIIU-21-25,Dom Ha,Alamiyat-1,28,,
JIIU-22-25,Dom Waw,Alamiyat-1,30,,
JIIU-23-25,Dom Za,Alamiyat-1,27,,
JIIU-24-25,Dom Hha,Alamiyat-1,27,,
JIIU-25-25,Dom Ta,Alamiyat-1,28,,
JIIU-26-25,Dom Ya,Alamiyat-1,28,,
JIIU-27-25,M Dom Alif ,Alamiyat-1,31,,
JIIU-28-25,Som Alif ,Alamiyat-1,33,,
JIIU-29-25,Som Ba ,Alamiyat-1,32,,
JIIU-30-25,Som Jeem,Alamiyat-1,29,,
JIIU-31-25,Som Dal,Alamiyat-1,34,,
JIIU-32-25,Som Ha,Alamiyat-1,34,,
JIIU-33-25,Som Waw,Alamiyat-1,34,,
JIIU-33-20,Som Za,Alamiyat-1,30,,
JIIU-34-25,M Som Alif ,Alamiyat-2,35,,
JIIU-35-25,Chaharum Alif ,Alamiyat-2,37,,
JIIU-36-25,Chaharum Ba,Alamiyat-2,34,,
JIIU-37-25,Chaharum Jeem,Alamiyat-2,32,,
JIIU-38-25,Chaharum Dal,Alamiyat-2,36,,
JIIU-39-25,Chaharum Ha,Alamiyat-2,34,,
JIIU-40-25,M Chaharum Alif,Alamiyat-2,30,,
JIIU-41-25,Panjum Alif,Alamiyat-2,70,,
JIIU-42-25,Panjum Ba,Alamiyat-2,69,,
JIIU-43-25,Panjum Jeem,Alamiyat-2,68,,
JIIU-44-25,Panjum Dal,Alamiyat-2,0,,
JIIU-45-20,Shashum Alif,Alamiyat-3,63,,
JIIU-46-25,Shashum Ba,Alamiyat-3,61,,
JIIU-47-25,Haftum,Alamiyat-3,171,,
JIIU-48-25,Aidadiya Alif,Farsi-1,41,,
JIIU-49-25,Aidadiya Ba,Farsi-1,36,,
JIIU-50-20,Aidadiya Jeem,Farsi-1,37,,
JIIU-51-25,Aidadiya Dal,Farsi-1,36,,
JIIU-52-25,Dawah,English,6,,
JIIU-53-25,Ifta,Laws of Shariya,10,,
,,,,,
,,,,,
,,,,,
